threshold_name,threshold_cm,gate_hours,gate_mm,debounce_steps,debounce_min,VP,FP,FN,VN,precision,recall,F1
Atenção,60,6,0,1,5,18,25,0,169516,0.419,1.0,0.59
Atenção,60,6,0,2,10,18,14,0,169603,0.562,1.0,0.72
Atenção,60,6,0,3,15,18,9,0,169664,0.667,1.0,0.8
Alerta,75,6,0,1,5,11,3,0,173126,0.786,1.0,0.88
Alerta,75,6,0,2,10,11,3,0,173174,0.786,1.0,0.88
Alerta,75,6,0,3,15,10,3,1,173213,0.769,0.909,0.833
Inundação,90,6,0,1,5,6,0,1,175329,1.0,0.857,0.923
Inundação,90,6,0,2,10,6,0,1,175343,1.0,0.857,0.923
Inundação,90,6,0,3,15,6,0,1,175356,1.0,0.857,0.923
Atenção,60,6,5,1,5,18,8,0,170215,0.692,1.0,0.818
Atenção,60,6,5,2,10,18,2,0,170277,0.9,1.0,0.947
Atenção,60,6,5,3,15,18,0,0,170321,1.0,1.0,1.0
Alerta,75,6,5,1,5,11,0,0,173188,1.0,1.0,1.0
Alerta,75,6,5,2,10,11,0,0,173232,1.0,1.0,1.0
Alerta,75,6,5,3,15,10,0,1,173267,1.0,0.909,0.952
Inundação,90,6,5,1,5,5,0,2,175365,1.0,0.714,0.833
Inundação,90,6,5,2,10,5,0,2,175374,1.0,0.714,0.833
Inundação,90,6,5,3,15,5,0,2,175381,1.0,0.714,0.833
Atenção,60,6,10,1,5,17,8,1,170789,0.68,0.944,0.791
Atenção,60,6,10,2,10,17,2,1,170834,0.895,0.944,0.919
Atenção,60,6,10,3,15,16,0,2,170867,1.0,0.889,0.941
Alerta,75,6,10,1,5,10,0,1,173218,1.0,0.909,0.952
Alerta,75,6,10,2,10,10,0,1,173261,1.0,0.909,0.952
Alerta,75,6,10,3,15,9,0,2,173295,1.0,0.818,0.9
Inundação,90,6,10,1,5,4,0,3,175378,1.0,0.571,0.727
Inundação,90,6,10,2,10,4,0,3,175384,1.0,0.571,0.727
Inundação,90,6,10,3,15,4,0,3,175390,1.0,0.571,0.727
Atenção,60,6,15,1,5,15,8,3,171045,0.652,0.833,0.732
Atenção,60,6,15,2,10,15,2,3,171087,0.882,0.833,0.857
Atenção,60,6,15,3,15,15,0,3,171116,1.0,0.833,0.909
Alerta,75,6,15,1,5,9,0,2,173261,1.0,0.818,0.9
Alerta,75,6,15,2,10,9,0,2,173303,1.0,0.818,0.9
Alerta,75,6,15,3,15,8,0,3,173335,1.0,0.727,0.842
Inundação,90,6,15,1,5,4,0,3,175389,1.0,0.571,0.727
Inundação,90,6,15,2,10,4,0,3,175393,1.0,0.571,0.727
Inundação,90,6,15,3,15,4,0,3,175397,1.0,0.571,0.727
Atenção,60,6,20,1,5,15,6,3,171405,0.714,0.833,0.769
Atenção,60,6,20,2,10,15,2,3,171442,0.882,0.833,0.857
Atenção,60,6,20,3,15,15,0,3,171469,1.0,0.833,0.909
Alerta,75,6,20,1,5,9,0,2,173388,1.0,0.818,0.9
Alerta,75,6,20,2,10,9,0,2,173419,1.0,0.818,0.9
Alerta,75,6,20,3,15,8,0,3,173444,1.0,0.727,0.842
Inundação,90,6,20,1,5,3,0,4,175393,1.0,0.429,0.6
Inundação,90,6,20,2,10,3,0,4,175396,1.0,0.429,0.6
Inundação,90,6,20,3,15,3,0,4,175399,1.0,0.429,0.6
