event_num,peak_cm,threshold_name,threshold_cm,occurrence,n_occurrences,t_obs,at_window_start,search_start,search_end,fire_30min,lead_time_30min,active_30min,fire_60min,lead_time_60min,active_60min,fire_90min,lead_time_90min,active_90min,fire_120min,lead_time_120min,active_120min
28,60.0,Atenção,60,1,1,2026-06-20 21:30:00,False,2026-06-20 18:30:00,2026-06-20 23:30:00,,,False,,,False,,,False,,,False
29,65.0,Atenção,60,1,1,2026-06-30 09:55:00,False,2026-06-30 06:55:00,2026-06-30 19:30:00,2026-06-30 10:10:00,-15.0,False,2026-06-30 10:15:00,-20.0,False,2026-06-30 10:25:00,-30.0,False,2026-06-30 10:40:00,-45.0,False
30,61.0,Atenção,60,1,1,2026-07-01 12:15:00,False,2026-07-01 09:15:00,2026-07-01 18:45:00,2026-07-01 12:55:00,-40.0,False,,,False,,,False,,,False
31,97.0,Atenção,60,1,1,2026-07-11 12:00:00,False,2026-07-11 09:00:00,2026-07-12 13:40:00,2026-07-11 12:05:00,-5.0,False,2026-07-11 12:05:00,-5.0,False,2026-07-11 12:05:00,-5.0,False,2026-07-11 12:05:00,-5.0,False
32,80.0,Atenção,60,1,1,2026-08-12 16:30:00,False,2026-08-12 13:30:00,2026-08-13 05:50:00,2026-08-12 16:40:00,-10.0,False,2026-08-12 16:40:00,-10.0,False,2026-08-12 16:40:00,-10.0,False,2026-08-12 16:40:00,-10.0,False
33,92.0,Atenção,60,1,1,2026-08-14 00:10:00,False,2026-08-13 21:10:00,2026-08-16 09:20:00,2026-08-14 00:20:00,-10.0,False,2026-08-14 00:20:00,-10.0,False,2026-08-14 00:20:00,-10.0,False,2026-08-14 00:20:00,-10.0,False
34,77.0,Atenção,60,1,2,2026-08-29 14:35:00,False,2026-08-29 11:35:00,2026-08-29 22:35:00,2026-08-29 14:45:00,-10.0,False,2026-08-29 14:45:00,-10.0,False,2026-08-29 14:45:00,-10.0,False,2026-08-29 14:45:00,-10.0,False
34,77.0,Atenção,60,2,2,2026-08-29 23:20:00,False,2026-08-29 22:35:00,2026-08-30 07:50:00,2026-08-29 23:20:00,0.0,False,2026-08-29 23:15:00,5.0,False,2026-08-29 23:15:00,5.0,False,2026-08-29 23:15:00,5.0,False
35,101.0,Atenção,60,1,1,2026-08-30 13:40:00,False,2026-08-30 10:40:00,2026-09-01 20:25:00,2026-08-30 13:45:00,-5.0,False,2026-08-30 13:45:00,-5.0,False,2026-08-30 13:45:00,-5.0,False,2026-08-30 13:45:00,-5.0,False
37,100.0,Atenção,60,1,1,2026-09-11 15:00:00,False,2026-09-11 12:00:00,2026-09-12 16:10:00,2026-09-11 15:10:00,-10.0,False,2026-09-11 15:10:00,-10.0,False,2026-09-11 15:05:00,-5.0,False,2026-09-11 15:05:00,-5.0,False
