threshold_name,threshold_cm,gate_hours,gate_mm,debounce_steps,debounce_min,VP,FP,FN,VN,precision,recall,F1
Atenção,60,6,0,1,5,17,4,1,169679,0.81,0.944,0.872
Atenção,60,6,0,2,10,17,4,1,169726,0.81,0.944,0.872
Atenção,60,6,0,3,15,17,4,1,169759,0.81,0.944,0.872
Alerta,75,6,0,1,5,11,1,0,173073,0.917,1.0,0.957
Alerta,75,6,0,2,10,11,1,0,173093,0.917,1.0,0.957
Alerta,75,6,0,3,15,11,1,0,173111,0.917,1.0,0.957
Inundação,90,6,0,1,5,7,0,0,175301,1.0,1.0,1.0
Inundação,90,6,0,2,10,7,0,0,175309,1.0,1.0,1.0
Inundação,90,6,0,3,15,7,0,0,175317,1.0,1.0,1.0
Atenção,60,6,5,1,5,17,0,1,170358,1.0,0.944,0.971
Atenção,60,6,5,2,10,17,0,1,170400,1.0,0.944,0.971
Atenção,60,6,5,3,15,17,0,1,170432,1.0,0.944,0.971
Alerta,75,6,5,1,5,11,0,0,173093,1.0,1.0,1.0
Alerta,75,6,5,2,10,11,0,0,173112,1.0,1.0,1.0
Alerta,75,6,5,3,15,11,0,0,173129,1.0,1.0,1.0
Inundação,90,6,5,1,5,6,0,1,175312,1.0,0.857,0.923
Inundação,90,6,5,2,10,6,0,1,175319,1.0,0.857,0.923
Inundação,90,6,5,3,15,6,0,1,175326,1.0,0.857,0.923
Atenção,60,6,10,1,5,16,0,2,170923,1.0,0.889,0.941
Atenção,60,6,10,2,10,16,0,2,170960,1.0,0.889,0.941
Atenção,60,6,10,3,15,16,0,2,170988,1.0,0.889,0.941
Alerta,75,6,10,1,5,10,0,1,173130,1.0,0.909,0.952
Alerta,75,6,10,2,10,10,0,1,173147,1.0,0.909,0.952
Alerta,75,6,10,3,15,10,0,1,173162,1.0,0.909,0.952
Inundação,90,6,10,1,5,6,0,1,175316,1.0,0.857,0.923
Inundação,90,6,10,2,10,6,0,1,175323,1.0,0.857,0.923
Inundação,90,6,10,3,15,5,0,2,175330,1.0,0.714,0.833
Atenção,60,6,15,1,5,14,0,4,171182,1.0,0.778,0.875
Atenção,60,6,15,2,10,14,0,4,171216,1.0,0.778,0.875
Atenção,60,6,15,3,15,14,0,4,171241,1.0,0.778,0.875
Alerta,75,6,15,1,5,9,0,2,173194,1.0,0.818,0.9
Alerta,75,6,15,2,10,9,0,2,173211,1.0,0.818,0.9
Alerta,75,6,15,3,15,9,0,2,173226,1.0,0.818,0.9
Inundação,90,6,15,1,5,5,0,2,175318,1.0,0.714,0.833
Inundação,90,6,15,2,10,5,0,2,175324,1.0,0.714,0.833
Inundação,90,6,15,3,15,5,0,2,175330,1.0,0.714,0.833
Atenção,60,6,20,1,5,14,0,4,171525,1.0,0.778,0.875
Atenção,60,6,20,2,10,14,0,4,171559,1.0,0.778,0.875
Atenção,60,6,20,3,15,14,0,4,171584,1.0,0.778,0.875
Alerta,75,6,20,1,5,9,0,2,173396,1.0,0.818,0.9
Alerta,75,6,20,2,10,9,0,2,173413,1.0,0.818,0.9
Alerta,75,6,20,3,15,9,0,2,173427,1.0,0.818,0.9
Inundação,90,6,20,1,5,4,0,3,175324,1.0,0.571,0.727
Inundação,90,6,20,2,10,4,0,3,175330,1.0,0.571,0.727
Inundação,90,6,20,3,15,4,0,3,175336,1.0,0.571,0.727
