model,event_num,peak_cm,rmse_30,rmse_60,rmse_90,rmse_120
M4,27,54.0,1.080666218379729,1.9811431931230576,3.022181399786516,3.432332384277919
M4,28,60.0,1.1280823044969104,1.8807892959187198,2.876174741344659,3.529218723138443
M4,29,65.0,1.0248413801851377,1.6771231652493843,2.219926780946004,3.105023787565235
M4,30,61.0,1.2671718721141099,1.9477413411167657,2.3317829287958736,2.737521018353057
M4,31,97.0,4.834734820064274,8.712785803341411,11.212146521831059,12.536409096616968
M4,32,80.0,1.8221600846534007,3.127047561415095,4.236500313073165,5.298722990096084
M4,33,92.0,6.152574631131365,7.353863314548831,8.508471132892721,9.466743681509152
M4,34,77.0,2.2356755393401357,3.5170649373415355,4.880660668865846,5.441758984144731
M4,35,101.0,3.836079891660336,6.796330144856336,8.453721738300315,9.556222965001101
M4,36,59.0,1.4514688493340568,1.4279335896326975,1.912013315618235,1.9225043188291406
M4,37,100.0,4.8462996562514205,8.390463101205157,10.822847582031084,12.37563038825243
M6,27,54.0,1.030583598306406,1.9928235193804338,2.8419069207776,3.541994720986341
M6,28,60.0,1.4467580148971784,2.8458524522671143,4.1312152267720155,5.331439783187799
M6,29,65.0,1.123230077667198,2.2875443020795743,3.447816382164649,4.513794590286762
M6,30,61.0,0.7718877021047209,1.4297221160156228,2.0825003108847167,2.6880697867177537
M6,31,97.0,2.564997850078493,5.2299088179554465,7.661945176431541,9.691353222024386
M6,32,80.0,1.7342728729397654,3.351780417768061,4.9630677448839045,6.49597988993043
M6,33,92.0,1.971439815885867,3.6110367984320955,5.013966241020334,6.180549540837153
M6,34,77.0,2.1401848058623383,3.6777184665959703,5.164052031995748,6.337188978229402
M6,35,101.0,2.0326216262606005,3.8967619640553703,5.588446536658558,6.9802056801409575
M6,36,59.0,0.9833778769397032,1.9024099772379013,2.7826816182169702,3.528545501242541
M6,37,100.0,2.7587876824443374,5.393240275551243,7.884794903444439,10.003723727990646
